compound,conductivities,nonlog,,
Cork  (re-granulated),0.044,0.044,,
Cork board,0.043,0.043,,
Cork,0.07,0.07,,
Corian  (ceramic filled),1.06,1.06,,
Copper,401,401,,
Constantan,23.3,23.3,,
Concrete  (stone),1.7,1.7,,
Concrete  (medium),0.55,0.55,,
Concrete  (lightweight),0.2,0.2,,
Concrete  (dense),1.4,1.4,,
Coke,0.184,0.184,,
Cod  (83\% moisture content),0.54,0.54,,
Cobalt,69,69,,
Coal,0.2,0.2,,
Clay  (saturated),1.5,1.5,,
Clay  (dry to moist),0.975,0.975,,
Chrom-oxide,0.42,0.42,,
Chromium,94,94,,
Chrome Nickel Steel  (18\% Cr),16.3,16.3,,
Chlorine  (gas),0.0081,0.0081,,
Chlorinated poly-ether,0.13,0.13,,
Charcoal,0.09,0.09,,
Chalk,0,0,,
Cement  (portland),0.29,0.29,,
Cement  (mortar),1.73,1.73,,
Cellulose  (cotton),0.23,0.23,,
Cellulose nitrate  (celluloid),0.165,0.165,,
Cellulose acetate  (molded),0.25,0.25,,
Cast iron,58,58,,
Carbon Steel,54,54,,
Carbon monoxide,0.0232,0.0232,,
Carbon dioxide  (gas),0.0146,0.0146,,
Carbon,1.7,1.7,,
Calcium silicate,0.05,0.05,,
Cadmium,92.1,92.1,,
Butter  (15\% moisture content),0.2,0.2,,
Brown iron ore,0.58,0.58,,
Bronze,110,110,,
Bromine  (gas),0.004,0.004,,
Brickwork  (dense),1.6,1.6,,
Brickwork  (common),0.8,0.8,,
Brick  (insulating),0.15,0.15,,
Brick  (fire),0.47,0.47,,
Brick dense,1.31,1.31,,
Breeze block,0.15,0.15,,
Brass,109,109,,
Boiler scale,2.35,2.35,,
Blast furnace gas,0.02,0.02,,
Bitumen/felt layers,0.5,0.5,,
Bitumen,0.17,0.17,,
Bitumen,0.17,0.17,,
Bismuth,8.1,8.1,,
Beryllium,218,218,,
Benzene,0.16,0.16,,
Beef  (lean 78.9 \% moisture),0.46,0.46,,
Balsa wood,0.048,0.048,,
Asphalt,0.75,0.75,,
Asbestos-cement sheets,0.166,0.166,,
Asbestos-cement board,0.744,0.744,,
Asbestos-cement,2.07,2.07,,
Asbestos  (loosely packed),0.15,0.15,,
Asbestos mill board,0.14,0.14,,
Argon  (gas),0.016,0.016,,
Apple  (85.6\% moisture),0.39,0.39,,
Antimony,18.5,18.5,,
Ammonia  (gas),0.022,0.022,,
Aluminum Oxide,30,30,,
Aluminum Brass,121,121,,
Aluminum,205,205,,
Alcohol,0.17,0.17,,
Air  (elevation 10000 m),0.02,0.02,,
Air  (atmosphere),0.024,0.024,,
Agate,10.9,10.9,,
Acrylic,0.2,0.2,,
Acetylene  (gas),0.018,0.018,,
Acetone,0.16,0.16,,
Acetals,0.23,0.23,,
